fyear,misstate,at,cogs,lt,ni,ppegt,counts
1990,0,914.1449,575.99121,569.0224,36.954956,729.3114,4567
1990,1,404.83188,289.08325,238.06993,20.764133,272.79099,15
1991,0,957.41077,594.27576,592.91083,27.814808,775.93005,4686
1991,1,411.67081,349.87991,279.92035,3.0734076,252.66548,27
1992,0,969.51233,589.11517,606.72662,24.665709,785.33044,4944
1992,1,809.11426,394.65298,503.97745,17.49127,548.1225,26
1993,0,963.46118,584.78058,600.07568,28.311258,776.82092,5347
1993,1,950.67261,416.59592,650.30475,4.9618335,643.49896,30
1994,0,1008.5685,608.09045,616.60498,42.090652,808.08893,5661
1994,1,1502.8259,724.73889,969.44513,114.63509,902.00897,23
1995,0,997.22693,606.98907,608.26752,43.518623,775.51202,6208
1995,1,2385.5637,1239.8876,1546.3495,37.376045,1531.0911,22
1996,0,1007.5279,612.9906,610.8028,43.4259,762.75964,6712
1996,1,2463.1042,1270.427,1352.8978,181.99364,1785.3315,33
1997,0,1071.2161,644.39172,653.82391,42.50222,789.14014,6747
1997,1,3522.7085,1848.9401,2205.2302,249.19337,1430.4662,42
1998,0,1182.8655,670.61523,733.08698,39.682991,857.98352,6660
1998,1,4533.7769,3224.5522,2868.802,211.04698,1830.3241,56
1999,0,1299.9705,704.5929,799.57507,47.21664,886.9436,6755
1999,1,4269.7222,3224.23,2884.835,162.97215,2410.2244,73
2000,0,1424.6527,764.48486,865.90723,50.531849,944.19525,6666
2000,1,7182.6899,3956.8193,4421.6382,160.09288,3251.7017,86
2001,0,1601.7253,856.98706,992.24823,31.527563,1076.7725,6281
2001,1,6985.9326,4591.7051,4605.6553,60.661629,3652.5708,81
2002,0,1723.1383,889.34515,1090.4323,35.566036,1183.9257,5990
2002,1,4575.2373,2655.0703,3100.5549,-17.266466,2108.6975,77
2003,0,1904.5898,977.55005,1174.7233,69.372971,1315.0745,5912
2003,1,3294.8325,2389.4136,2177.7937,92.894783,1366.8932,69
2004,0,2008.5347,1067.8929,1218.6472,89.980576,1375.1235,5876
2004,1,3046.4534,2317.0532,2046.2793,115.04202,1394.7291,58
2005,0,2140.0332,1137.7036,1302.6725,108.26472,1428.05,5818
2005,1,2539.2957,1534.0927,1420.097,132.23813,572.52515,45
2006,0,2231.1951,1183.6528,1343.436,121.4548,1466.3945,5875
2006,1,2107.063,1594.6182,1329.5121,179.94363,544.87488,33
2007,0,2478.3425,1244.705,1483.0569,130.54253,1570.7662,5838
2007,1,1519.1656,662.70801,739.61969,94.081902,558.29309,30
2008,0,2579.2703,1360.4343,1608.7507,90.968414,1671.5216,5586
2008,1,4877.6719,2078.6045,2747.7898,216.40707,2732.8423,26
2009,0,2761.5945,1296.8287,1660.4071,98.673912,1824.619,5336
2009,1,6502.3359,3005.625,3736.4275,283.04257,3929.5085,31
2010,0,2808.3469,1337.6729,1673.1406,138.23218,1795.1696,5363
2010,1,7678.9019,3500.2366,4332.8477,317.66113,4698.2554,26
2011,0,2999.4822,1461.146,1814.8839,142.78079,1915.5168,5383
2011,1,6916.771,3853.9014,4331.292,131.01648,4059.2798,21
2012,0,3015.9712,1444.7159,1840.0691,125.57452,1924.0873,5611
2012,1,3549.2603,2892.1731,2322.501,150.83678,1928.9546,19
2013,0,3129.0471,1456.6161,1904.7485,129.71872,1990.8354,5636
2013,1,4011.3835,4380.3945,2365.7166,14.353275,2284.5789,11
2014,0,3224.5972,1483.829,1996.7784,132.69852,2015.9468,5623
2014,1,826.9035,592.12427,473.29874,44.179749,381.05701,4
